Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg4_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_90_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-90-spons%26psc%3D1&qualifier=1591153671&id=1995043500455944&widgetName=sp_mtf_browse
"Fortune Everyday Basmati Rice, 5kg",381,49%,₹740,4,113,https://www.amazon.in/Fortune-Everyday-Basmati-Rice-5kg/dp/B01H5L5UF6/ref=sr_1_91?dchild=1&qid=1591099869&s=pantry&sr=1-91
"BB Consumer Products Chana Dal, 1 kg",78,0%,,4.2,41,https://www.amazon.in/BB-Consumer-Products-Chana-Dal/dp/B087164DK7/ref=sr_1_92?dchild=1&qid=1591099869&s=pantry&sr=1-92
"India Gate Basmati Rice Super, 1kg (with Free 500g)",183,4%,₹190,4.2,626,https://www.amazon.in/India-Gate-Basmati-Rice-Super/dp/B06XSW7FV5/ref=sr_1_93?dchild=1&qid=1591099869&s=pantry&sr=1-93
"Tata Sampann Green Moong, 500g",,0%,,4.7,94,https://www.amazon.in/Tata-Sampann-Green-Moong-500g/dp/B077X8MD39/ref=sr_1_94?dchild=1&qid=1591099869&s=grocery&sr=1-94
Five Star Corn Flour 100 g Pouch (Pack of 5),110,0%,,3.9,28,https://www.amazon.in/Corn-Flour-100g-Pouch-Pack/dp/B07CHF7S29/ref=sr_1_95?dchild=1&qid=1591099869&s=grocery&sr=1-95
Tur Dal Loose 1 Kg,179,5%,₹189,4.3,142,https://www.amazon.in/More-Tur-Dal-Loose-500gm/dp/B07M5T6R3S/ref=sr_1_96?dchild=1&qid=1591099869&s=grocery&sr=1-96
"24 Mantra Organic Broken Rice, 1kg",55,0%,,3.9,130,https://www.amazon.in/24-Mantra-Organic-Broken-Rice/dp/B01CHVDXRG/ref=sr_1_97?dchild=1&qid=1591099869&s=pantry&sr=1-97
"Aashirvaad Superior Mp Atta, 1kg",52,9%,₹57,4.2,221,https://www.amazon.in/Aashirvaad-Superior-Mp-Atta-1kg/dp/B077SXQZ79/ref=sr_1_98?dchild=1&qid=1591099869&s=pantry&sr=1-98
"Pillsbury Multi Grain Atta, 5kg",285,8%,₹310,4.1,428,https://www.amazon.in/Pillsbury-Multi-Grain-Atta-5kg/dp/B01CHUZNH0/ref=sr_1_99?dchild=1&qid=1591099869&s=pantry&sr=1-99
"Kohinoor Charminar Every Meal Rice (Mogra), 5 Kg",259,35%,₹399,2.9,95,https://www.amazon.in/Kohinoor-Charminar-Every-Meal-Mogra/dp/B0824G1C26/ref=sr_1_100?dchild=1&qid=1591099869&s=pantry&sr=1-100
"Tata Sampann Chana Dal, 500g",,0%,,4.5,119,https://www.amazon.in/Tata-Sampann-Chana-Dal-500g/dp/B077X8G5DK/ref=sr_1_101?dchild=1&qid=1591099869&s=grocery&sr=1-101
"Amazon Brand - Vedaka Premium White Lobia, 1kg",100,33%,₹150,4.1,564,https://www.amazon.in/Vedaka-Premium-White-Lobia-1kg/dp/B07H3K9V7P/ref=sr_1_102?dchild=1&qid=1591099869&s=pantry&sr=1-102
GrowFit Low Carb Gluten Free Roti Flour (1Kg),790,0%,,3.3,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg5_1?ie=UTF8&adId=A040305033MHK9NHB8UG7&url=%2FGrow-Fit-Carb-Non-Gluten-Flour%2Fdp%2FB077PN52J7%2Fref%3Dsr_1_97_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-97-spons%26psc%3D1&qualifier=1591153672&id=1091851390340145&widgetName=sp_atf_browse
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg5_2?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_98_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-98-spons%26psc%3D1&qualifier=1591153672&id=1091851390340145&widgetName=sp_atf_browse
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250,15%,₹295,3.4,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg5_3?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_99_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-99-spons%26psc%3D1&qualifier=1591153672&id=1091851390340145&widgetName=sp_atf_browse
"24 Mantra Organic Rice Flour, 500g",,0%,,4.2,131,https://www.amazon.in/24-Mantra-Organic-Rice-Flour/dp/B00L9269M6/ref=sr_1_100?dchild=1&qid=1591099869&s=grocery&sr=1-100
"Jiwa Gluten Free Atta, 1Kg",125,37%,₹199,3.5,313,https://www.amazon.in/Jiwa-Gluten-Free-Atta-1Kg/dp/B01A84IP22/ref=sr_1_101?dchild=1&qid=1591099869&s=grocery&sr=1-101
Naga Double Roasted Sooji 1kg,65,0%,,4.3,10,https://www.amazon.in/NAGA-DOUBLE-ROASTED-SOOJI-1KG/dp/B01HRG3X1M/ref=sr_1_102?dchild=1&qid=1591099869&s=grocery&sr=1-102
"India Gate Basmati Rice Pouch, Feast Rozzana, 1kg",84,14%,₹98,3.8,290,https://www.amazon.in/India-Gate-Basmati-Pouch-Rozzana/dp/B01JYTZ3VI/ref=sr_1_103?dchild=1&qid=1591099869&s=pantry&sr=1-103
"India Gate Basmati Rice Pouch, Classic, 1kg",186,14%,₹216,4.3,252,https://www.amazon.in/India-Gate-Basmati-Pouch-Classic/dp/B01JYTYSQE/ref=sr_1_104?dchild=1&qid=1591099869&s=pantry&sr=1-104
"24 Mantra Organic Idly Rice, 1kg",98,0%,,4.4,61,https://www.amazon.in/24-Mantra-Idly-Rice-1kg/dp/B01MQTQ26Z/ref=sr_1_105?dchild=1&qid=1591099869&s=pantry&sr=1-105
"Aashirvaad Shudh Chakki Atta, 10 kg",,0%,,4.5,306,https://www.amazon.in/Aashirvaad-Shudh-Chakki-Atta-10/dp/B00RO0BWOM/ref=sr_1_106?dchild=1&qid=1591099869&s=grocery&sr=1-106
"Amazon Brand - Vedaka Popular Black Chana, 1kg",,0%,,4.3,55,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Black/dp/B07BL6B6W3/ref=sr_1_107?dchild=1&qid=1591099869&s=grocery&sr=1-107
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,282,https://www.amazon.in/SHRILALMAHAL-Fitness-Basmati-Weight-Special/dp/B07DXZX8FR/ref=sr_1_108?dchild=1&qid=1591099869&s=grocery&sr=1-108
"Aashirvaad Atta Multigrains, 1kg",,0%,,4.4,77,https://www.amazon.in/Aashirvaad-Atta-Multigrains-1kg/dp/B00NBSEXWY/ref=sr_1_109?dchild=1&qid=1591099869&s=grocery&sr=1-109
AGROPHILIA White Quinoa 1 Kg,319,9%,₹350,4.2,468,https://www.amazon.in/Agrophilia-White-Quinoa-1-kg/dp/B079JVMPBQ/ref=sr_1_110?dchild=1&qid=1591099869&s=grocery&sr=1-110
"India Gate Basmati Rice, Rozana, 5kg",379,22%,₹485,4,291,https://www.amazon.in/India-Gate-Basmati-Rice-Rozana/dp/B07C3WX9ZF/ref=sr_1_111?dchild=1&qid=1591099869&s=pantry&sr=1-111
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg5_1?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_112_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-112-spons%26psc%3D1&qualifier=1591153672&id=1091851390340145&widgetName=sp_mtf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg5_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_113_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-113-spons%26psc%3D1&qualifier=1591153672&id=1091851390340145&widgetName=sp_mtf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg5_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_114_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-114-spons%26psc%3D1&qualifier=1591153672&id=1091851390340145&widgetName=sp_mtf_browse
"Aashirvaad Superior Mp Atta, 1kg",52,9%,₹57,4.2,221,https://www.amazon.in/Aashirvaad-Superior-Mp-Atta-1kg/dp/B077SXQZ79/ref=sr_1_115?dchild=1&qid=1591099869&s=pantry&sr=1-115
"24 Mantra Organic Wheat Dhaliya, 500g",,0%,,4,101,https://www.amazon.in/24-Mantra-Organic-Wheat-Dhaliya/dp/B00L926CUU/ref=sr_1_116?dchild=1&qid=1591099869&s=grocery&sr=1-116
"24 Mantra Organic Urad Dal White Split, 500g",124,5%,₹130,4.4,49,https://www.amazon.in/24-Mantra-Organic-White-Split/dp/B01CHUXLM4/ref=sr_1_117?dchild=1&qid=1591099869&s=pantry&sr=1-117
"Kohinoor Super Silver Aged Basmati Rice, 1 Kg",119,30%,₹169,4,53,https://www.amazon.in/Kohinoor-Super-Silver-Basmati-Rice/dp/B01H5MA3UW/ref=sr_1_118?dchild=1&qid=1591099869&s=pantry&sr=1-118
"Kohinoor Supreme Authentic Basmati Rice, 1kg",165,28%,₹229,4.4,49,https://www.amazon.in/Kohinoor-Supreme-Authentic-Basmati-Rice/dp/B07PP85TRK/ref=sr_1_119?dchild=1&qid=1591099869&s=pantry&sr=1-119
Tenali Double Horse Urad Dall Whole 1 Kg Pack of 4,488,24%,₹640,4.5,30,https://www.amazon.in/Tenali-Double-Horse-Orid-Dall/dp/B07QCSB3JV/ref=sr_1_120?dchild=1&qid=1591099869&s=grocery&sr=1-120
"24 Mantra Organic Sonamasuri Raw Rice Polished, 5kg",475,0%,,3.9,114,https://www.amazon.in/24-Mantra-Organic-Sonamasuri-Rice/dp/B01H5KPYXK/ref=sr_1_121?dchild=1&qid=1591099869&s=pantry&sr=1-121
NutroActive Keto Atta (1g Net Carb Per Roti ) Extremely Low Carb Flour - 750 gm,523,13%,₹599,3.5,485,https://www.amazon.in/NutroActive-Keto-Atta-Extremely-Flour/dp/B07PLYZN51/ref=sr_1_122?dchild=1&qid=1591099869&s=grocery&sr=1-122
"India Gate Basmati Rice Dubar, 1kg",100,19%,₹123,4,252,https://www.amazon.in/India-Gate-Basmati-Rice-Dubar/dp/B01CHUQRK2/ref=sr_1_123?dchild=1&qid=1591099869&s=pantry&sr=1-123
"Tata Sampann Masoor Dal, Whole, 1kg",,0%,,4.5,155,https://www.amazon.in/Tata-Sampann-Masoor-Dal-Whole/dp/B077XDK8HT/ref=sr_1_124?dchild=1&qid=1591099869&s=grocery&sr=1-124
"24 Mantra Organic Ragi Flour, 500g",,0%,,4.3,212,https://www.amazon.in/24-Mantra-Organic-Ragi-Flour/dp/B00L9264MG/ref=sr_1_125?dchild=1&qid=1591099869&s=grocery&sr=1-125
"Kohinoor Authentic Basmati Biryani Kit, Awadhi, 327g",91,27%,₹125,4.2,194,https://www.amazon.in/Kohinoor-Authentic-Basmati-Biryani-Awadhi/dp/B07H37JL6D/ref=sr_1_126?dchild=1&qid=1591099869&s=pantry&sr=1-126
GrowFit Low Carb Gluten Free Roti Flour (1Kg),790,0%,,3.3,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg6_1?ie=UTF8&adId=A040305033MHK9NHB8UG7&url=%2FGrow-Fit-Carb-Non-Gluten-Flour%2Fdp%2FB077PN52J7%2Fref%3Dsr_1_121_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-121-spons%26psc%3D1&qualifier=1591153673&id=4621208406955631&widgetName=sp_atf_browse
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg6_2?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_122_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-122-spons%26psc%3D1&qualifier=1591153673&id=4621208406955631&widgetName=sp_atf_browse
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250,15%,₹295,3.4,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg6_3?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_123_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-123-spons%26psc%3D1&qualifier=1591153673&id=4621208406955631&widgetName=sp_atf_browse
"Daawat Brown Basmati Rice, 5kg",637,9%,₹700,4.2,734,https://www.amazon.in/Daawat-Brown-Basmati-Rice-5kg/dp/B00SWKB7YI/ref=sr_1_124?dchild=1&qid=1591099869&s=grocery&sr=1-124
"Jiwa Gluten Free Maida, 900g",125,37%,₹199,3.7,49,https://www.amazon.in/Healthy-Nature-Gluten-Maida-Pouch/dp/B07NBW86TV/ref=sr_1_125?dchild=1&qid=1591099869&s=grocery&sr=1-125
"24 Mantra Organic Moong Dal, 500g",110,0%,,4.4,289,https://www.amazon.in/24-Mantra-Organic-Moong-500g/dp/B01H5KOPNK/ref=sr_1_126?dchild=1&qid=1591099869&s=pantry&sr=1-126
"Daawat Premium Sona Masuri Rice, 10kg",579,23%,₹749,3.6,28,https://www.amazon.in/Daawat-Premium-Sona-Masuri-Rice/dp/B079DB5YH1/ref=sr_1_127?dchild=1&qid=1591099869&s=pantry&sr=1-127
"Rajdhani Sooji, 500g",,0%,,4.3,38,https://www.amazon.in/Rajdhani-Sooji-500g/dp/B079GXRN3V/ref=sr_1_128?dchild=1&qid=1591099869&s=grocery&sr=1-128
"Rajdhani Maida, 500g",39,0%,,3.7,15,https://www.amazon.in/Rajdhani-Maida-500g/dp/B079H9STVG/ref=sr_1_129?dchild=1&qid=1591099869&s=grocery&sr=1-129
"24 Mantra Organic Sonamasuri Raw Rice Polished, 1kg",95,0%,,4,95,https://www.amazon.in/24-Mantra-Organic-Sonamasuri-Rice/dp/B01CHVDG3W/ref=sr_1_130?dchild=1&qid=1591099869&s=pantry&sr=1-130
"Amazon Brand - Vedaka Popular Black Urad Whole / Sabut, 1 kg",120,0%,,4.2,290,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Black/dp/B079NGNVGD/ref=sr_1_131?dchild=1&qid=1591099869&s=pantry&sr=1-131
"India Gate Basmati Rice Bag, Super, 5kg",589,31%,₹850,4.2,305,https://www.amazon.in/India-Gate-Basmati-Rice-Super/dp/B01JYTZ0OS/ref=sr_1_132?dchild=1&qid=1591099869&s=pantry&sr=1-132
"Daawat Rozana Mogra Rice,, 5kg",313,37%,₹495,3.2,125,https://www.amazon.in/Daawat-Rozana-Mogra-Rice-5kg/dp/B01NA8J7JX/ref=sr_1_133?dchild=1&qid=1591099869&s=pantry&sr=1-133
Daawat Rozana Mini Mogra Rice -5 Kg,246,7%,₹265,2.9,106,https://www.amazon.in/Daawat-%E0%A4%B0%E0%A5%8B%E0%A4%9C%E0%A4%BC%E0%A4%BE%E0%A4%A8%E0%A4%BE-%E0%A4%AE%E0%A4%BF%E0%A4%A8%E0%A5%80-%E0%A4%AE%E0%A5%8B%E0%A4%97%E0%A4%B0%E0%A4%BE-%E0%A4%B0%E0%A4%BE%E0%A4%87%E0%A4%B8/dp/B06XBTVXRS/ref=sr_1_134?dchild=1&qid=1591099869&s=pantry&sr=1-134
Natureland Organics Amaranthus Flour (Rajgira Flour) 500 Gm - Gluten Free Amaranth Flour,104,5%,₹110,4,75,https://www.amazon.in/Natureland-Organics-Amaranthus-Flour-2piece/dp/B07B9XWKWN/ref=sr_1_135?dchild=1&qid=1591099869&s=grocery&sr=1-135
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg6_1?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_136_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-136-spons%26psc%3D1&qualifier=1591153673&id=4621208406955631&widgetName=sp_mtf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg6_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_137_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-137-spons%26psc%3D1&qualifier=1591153673&id=4621208406955631&widgetName=sp_mtf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg6_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_138_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-138-spons%26psc%3D1&qualifier=1591153673&id=4621208406955631&widgetName=sp_mtf_browse
Ahaar Maida 500 Grams with High Protein,40,0%,,3.8,9,https://www.amazon.in/Ahaar-Maida-Grams-High-Protein/dp/B0747HQ2H6/ref=sr_1_139?dchild=1&qid=1591099869&s=grocery&sr=1-139
Everin Nutri High Protein and Healthy SOYA Chunks 1kg,199,1%,₹200,3.9,19,https://www.amazon.in/Everin-Nutri-Protein-Healthy-Chunks/dp/B07V6J7P6Y/ref=sr_1_140?dchild=1&qid=1591099869&s=grocery&sr=1-140
More Chana Big Loose (500 g),,0%,,4.3,38,https://www.amazon.in/More-Chana-Big-Loose-500gm/dp/B07MKCG8BB/ref=sr_1_141?dchild=1&qid=1591099869&s=grocery&sr=1-141
"Kohinoor Super Value Basmati Rice, 5Kg",600,24%,₹790,4.3,233,https://www.amazon.in/Kohinoor-Super-Authentic-Basmati-Rice-6-25KG/dp/B01N6X4J98/ref=sr_1_142?dchild=1&qid=1591099869&s=grocery&sr=1-142
"Aashirvaad Select Atta, 1kg",57,8%,₹62,4.5,98,https://www.amazon.in/Aashirvaad-Select-Atta-1kg/dp/B077SXSNN2/ref=sr_1_143?dchild=1&qid=1591099869&s=pantry&sr=1-143
Natureland Organics Pearl Barley 500 Gm - Organic Barley,52,5%,₹55,4.6,93,https://www.amazon.in/Natureland-Organics-Pearl-Barley-Pack/dp/B07B9TLP7J/ref=sr_1_144?dchild=1&qid=1591099869&s=grocery&sr=1-144
"Kohinoor Charminar Long Grain Rice, 1 Kg",66,40%,₹110,2.9,120,https://www.amazon.in/Charminar-Long-Grain-Basmati-Rice-1/dp/B01GCF02O0/ref=sr_1_145?dchild=1&qid=1591099869&s=pantry&sr=1-145
Natureland Organics Kabuli Chana / White Chana / Chole 500 Gm - Organic Healthy Chana,107,5%,₹113,5,3,https://www.amazon.in/Natureland-Organics-Kabuli-Chana-White/dp/B07W4Z48D5/ref=sr_1_146?dchild=1&qid=1591099869&s=grocery&sr=1-146
Healthy Khurak Chana Sattu (1000g),230,8%,₹250,3.8,110,https://www.amazon.in/Healthy-Khurak-Chana-Sattu-1000g/dp/B07C364B4Q/ref=sr_1_147?dchild=1&qid=1591099869&s=grocery&sr=1-147
Indiana Roasted Chana - 500gm,160,20%,₹200,4.3,63,https://www.amazon.in/Indiana-Roasted-Chana-500gm/dp/B07VSQ7XS2/ref=sr_1_148?dchild=1&qid=1591099869&s=grocery&sr=1-148
"Catch Sprinklers Iodized Table Salt, 200g",32,0%,,4.3,175,https://www.amazon.in/Catch-Sprinklers-Iodized-Table-Bottle/dp/B01CHVJ528/ref=sr_1_149?dchild=1&qid=1591099869&s=pantry&sr=1-149
"24 Mantra Organic Wholewheat Atta Premium, 5kg",,0%,,3.9,804,https://www.amazon.in/24-Mantra-Organic-Wholewheat-Premium/dp/B00L926JNU/ref=sr_1_150?dchild=1&qid=1591099869&s=grocery&sr=1-150
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg7_1?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_145_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-145-spons%26psc%3D1&qualifier=1591153674&id=3244593814206356&widgetName=sp_atf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg7_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_146_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-146-spons%26psc%3D1&qualifier=1591153674&id=3244593814206356&widgetName=sp_atf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg7_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_147_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-147-spons%26psc%3D1&qualifier=1591153674&id=3244593814206356&widgetName=sp_atf_browse
"24 Mantra Organic Wholewheat Atta Premium, 5kg",,0%,,3.9,804,https://www.amazon.in/24-Mantra-Organic-Wholewheat-Premium/dp/B00L926JNU/ref=sr_1_148?dchild=1&qid=1591099869&s=grocery&sr=1-148
Superior Sona Masoori Rice - Raw 1 Kg (Loose),,0%,,3.4,55,https://www.amazon.in/More-Superior-Sona-masoori-loose/dp/B07MNDY56N/ref=sr_1_149?dchild=1&qid=1591099869&s=grocery&sr=1-149
"Amazon Brand - Vedaka Premium White Urad Split, 500g",76,5%,₹80,4.3,516,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-White/dp/B079NGHMC5/ref=sr_1_150?dchild=1&qid=1591099869&s=pantry&sr=1-150
"24 Mantra Organic Chana Dal, 1kg",170,0%,,4.7,68,https://www.amazon.in/24-Mantra-Organic-Chana-Bengalgram/dp/B01H5KMWGC/ref=sr_1_151?dchild=1&qid=1591099869&s=pantry&sr=1-151
Natureland Organic Barley Flour / Jau Flour 500 Gm - Healthy Organic Flour,52,5%,₹55,4.1,73,https://www.amazon.in/Natureland-Organics-Barley-Flour-Pouch/dp/B07PN2XD3B/ref=sr_1_152?dchild=1&qid=1591099869&s=grocery&sr=1-152
"Jiwa Healthy by Nature Multigrain Atta, 1Kg",99,50%,₹199,4.1,103,https://www.amazon.in/Jiwa-Healthy-Nature-Multigrain-Atta/dp/B076DHW6RM/ref=sr_1_153?dchild=1&qid=1591099869&s=grocery&sr=1-153
"Tata Sampann  Fine Besan 100% CHANA DAL , 1kg",,0%,,4.2,69,https://www.amazon.in/Tata-Sampann-Besan-1kg/dp/B077X87TTS/ref=sr_1_154?dchild=1&qid=1591099869&s=grocery&sr=1-154
"Minimal Whole Sabudana/Sago/Tapioca,1Kg",265,11%,₹299,3.9,11,https://www.amazon.in/Minimal-Whole-Sabudana-Sago-Tapioca/dp/B07T7DZMR9/ref=sr_1_155?dchild=1&qid=1591099869&s=grocery&sr=1-155
"More Bengal Gram Dal - Roasted, 500g (Loose)",,0%,,4.1,47,https://www.amazon.in/More-Roasted-Bengal-Loose-500gm/dp/B07MNDN5WL/ref=sr_1_156?dchild=1&qid=1591099869&s=grocery&sr=1-156
True Elements Gluten Free Quinoa 1kg - Quinoa for Weight Loss,449,31%,₹650,4.3,256,https://www.amazon.in/True-Elements-Gluten-Free-Quinoa/dp/B01LEMUGFG/ref=sr_1_157?dchild=1&qid=1591099869&s=grocery&sr=1-157
"24 Mantra Organic Besan (Gram) Flour, 500g",85,0%,,4.3,171,https://www.amazon.in/24-Mantra-Organic-Besan-Flour/dp/B00L9260A2/ref=sr_1_158?dchild=1&qid=1591099869&s=grocery&sr=1-158
"Natureland Organics Panchrangi Dal/Mix Dal Pouch, 1 kg",200,5%,₹210,4,8,https://www.amazon.in/Natureland-Organics-Panchrangi-Dal-Pouch/dp/B07W72D8R2/ref=sr_1_159?dchild=1&qid=1591099869&s=grocery&sr=1-159
